base_id,place,latitude,longitude,poi_Transportation Facilities,poi_Leisure & Entertainment,poi_Companies & Enterprises,poi_Healthcare,poi_Commercial & Residential,poi_Tourist Attractions,poi_Automotive,poi_Life Services,poi_Science & Education & Culture,poi_Shopping & Consumer Goods,poi_Sports & Fitness,poi_Hotels & Accommodations,poi_Financial Institutions,poi_Dining & Cuisine
28358,昌北机场T2航站楼LampsiteD(昌北机场T2航站楼),28.861352,115.910922,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28359,昌北机场T2航站楼LampsiteD(昌北机场T2航站楼),28.861352,115.910922,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28360,昌北机场T2航站楼LampsiteD(昌北机场T2航站楼),28.861352,115.910922,16,0,1,1,0,0,4,5,0,12,0,0,2,7
28361,地铁二号线八一广场站lampsite(八一广场站),28.67949,115.89849,59,16,19,31,18,12,7,106,35,437,10,21,5,185
28362,地铁二号线八一广场站lampsite(八一广场站),28.679522,115.898278,59,16,18,33,19,12,7,106,35,431,10,21,5,194
28363,地铁二号线八一广场站lampsite(八一广场站),28.67949,115.89849,59,16,19,31,18,12,7,106,35,437,10,21,5,185
28364,地铁二号线八一广场站lampsite(八一广场站),28.67949,115.89849,59,16,19,31,18,12,7,106,35,437,10,21,5,185
28365,地铁二号线八一广场站lampsite(八一广场站),28.67949,115.89849,59,16,19,31,18,12,7,106,35,437,10,21,5,185
28366,地铁二号线丁公路南站lampsite(丁公路南站),28.66739,115.90724,65,4,25,17,23,4,4,39,27,104,3,38,9,74
28367,地铁二号线丁公路南站lampsite(丁公路南站),28.667542,115.90716,65,4,23,18,24,4,4,38,27,108,3,37,11,75
28368,地铁二号线丁公路南站lampsite(丁公路南站),28.66739,115.90724,65,4,25,17,23,4,4,39,27,104,3,38,9,74
